symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
A,Agilent Technologies Inc.,Equity,United States,09:30,16:00,UTC-04,USD,1.0000
ACB,Aurora Cannabis Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
AMZN,Amazon.com Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
AAPL,Apple Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
AMD,Advanced Micro Devices Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
T,AT&T Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
BABA,Alibaba Group Holding Limited,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
ALT,Altimmune Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
ACRX,AcelRx Pharmaceuticals Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
AMRN,Amarin Corporation plc,Equity,United States,09:30,16:00,UTC-04,USD,0.2000
B,Barnes Group Inc.,Equity,United States,09:30,16:00,UTC-04,USD,1.0000
BPTH,Bio-Path Holdings Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.6667
BABA,Alibaba Group Holding Limited,Equity,United States,09:30,16:00,UTC-04,USD,0.6667
BA,The Boeing Company,Equity,United States,09:30,16:00,UTC-04,USD,0.6667
BAC,Bank of America Corporation,Equity,United States,09:30,16:00,UTC-04,USD,0.6667
BJ,BJ's Wholesale Club Holdings Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
BE,Bloom Energy Corporation,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
BRY,Berry Petroleum Corporation,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
BV,BrightView Holdings Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
BSVN,Bank7 Corp.,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
C,Citigroup Inc.,Equity,United States,09:30,16:00,UTC-04,USD,1.0000
CVS,CVS Health Corporation,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
COST,Costco Wholesale Corporation,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
CGC,Canopy Growth Corporation,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
CTL,CenturyLink Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
CHK,Chesapeake Energy Corporation,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
CRON,Cronos Group Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
CTK,CooTek (Cayman) Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
CWK,Cushman & Wakefield plc,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
CNST,Constellation Pharmaceuticals Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
D,Dominion Energy Inc.,Equity,United States,09:30,16:00,UTC-04,USD,1.0000
DOMO,Domo Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
DAVA,Endava plc,Equity,United States,09:30,16:00,UTC-04,USD,0.5000
DMAC,DiaMedica Therapeutics Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
DDMXU,DD3 Acquisition Corp. Units,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
DDOC,"DERMAdoctor, LLC.",Equity,United States,09:30,16:00,UTC-04,USD,0.4000
DIS,The Walt Disney Company,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
DWDP,DowDuPont Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
DNR,Denbury Resources Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.3333
E,Eni S.p.A.,Equity,United States,09:30,16:00,UTC-04,USD,1.0000
EB,Eventbrite Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.6667
XOM,Exxon Mobil Corporation,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
ELAN,Elanco Animal Health Incorporated,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
ESTC,Elastic N.V.,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
EVER,EverQuote Inc.,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
DAVA,Endava plc,Equity,United States,09:30,16:00,UTC-04,USD,0.4000
