timestamp,open,high,low,close,volume
2019-03-08,166.2000,169.6200,165.9700,169.6000,13184831
2019-03-07,171.5000,171.7400,167.6100,169.1300,18306504
2019-03-06,172.9000,173.5700,171.2700,172.5100,21531723
2019-03-05,167.3700,171.8800,166.5500,171.2600,28187890
2019-03-04,163.9000,167.5000,163.8300,167.3700,18894689
2019-03-01,162.6000,163.1320,161.6900,162.2800,11097770
2019-02-28,162.3700,163.5000,160.8600,161.4500,11114185
2019-02-27,162.9000,163.9300,160.4100,162.8100,12697485
2019-02-26,164.3350,166.2400,163.8000,164.1300,13784063
2019-02-25,163.0700,166.0700,162.9000,164.6200,18737106
2019-02-22,160.5800,162.4100,160.3100,161.8900,15858468
2019-02-21,161.9300,162.2400,159.5900,160.0400,15607828
2019-02-20,162.2500,163.7200,161.2500,162.5600,11770692
2019-02-19,160.5000,164.1500,160.3300,162.2900,14345390
2019-02-15,164.5100,164.7000,160.8600,162.5000,15504415
2019-02-14,163.1900,164.8697,162.2468,163.9500,12755151
2019-02-13,165.3800,166.2200,163.7300,164.0700,14205146
2019-02-12,166.8600,168.3400,164.5000,165.0400,16292290
2019-02-11,167.9000,168.3000,165.0800,165.7900,12811176
2019-02-08,164.4700,167.3700,164.2100,167.3300,12561422
2019-02-07,168.2000,169.2400,165.2500,166.3800,17517609
2019-02-06,171.2000,172.4700,169.2700,170.4900,13281161
2019-02-05,169.1500,171.9800,168.6900,171.1600,22556985
2019-02-04,165.7000,169.3000,163.6200,169.2500,20036470
2019-02-01,165.8400,169.1000,165.6600,165.7100,30806513
2019-01-31,165.6000,171.6800,165.0000,166.6900,77233602
2019-01-30,146.2200,150.9500,145.6953,150.4200,44613240
2019-01-29,148.0900,148.1000,143.4300,144.1900,17631953
2019-01-28,148.0500,148.9600,146.2100,147.4700,15508483
2019-01-25,147.4800,149.8300,146.5400,149.0100,22250954
2019-01-24,144.6400,146.4400,142.5200,145.8300,20955518
2019-01-23,148.2800,148.8000,143.0550,144.3000,20098415
2019-01-22,149.2000,151.5300,146.3700,147.5700,22378694
2019-01-18,149.7500,152.4300,148.5500,150.0400,31029612
2019-01-17,146.9500,149.0000,146.5000,148.3000,15787914
2019-01-16,149.0000,149.6499,146.9975,147.5400,18025714
2019-01-15,146.0100,150.6800,145.9900,148.9500,24068822
2019-01-14,142.0000,146.5700,141.2700,145.3900,20520278
2019-01-11,143.1500,145.3600,142.5700,143.8000,12908031
2019-01-10,143.0800,144.5600,140.8400,144.2000,16125004
2019-01-09,142.9500,144.7000,141.2700,144.2300,22205879
2019-01-08,139.8900,143.1400,139.5400,142.5300,26263793
2019-01-07,137.5600,138.8700,135.9100,138.0500,20089337
2019-01-04,134.0100,138.0000,133.7500,137.9500,29002059
2019-01-03,134.6900,137.1700,131.1200,131.7400,22717948
2019-01-02,128.9900,137.5100,128.5600,135.6800,28146193
2018-12-31,134.4500,134.6400,129.9500,131.0900,24625308
2018-12-28,135.3400,135.9200,132.2000,133.2000,22627569
2018-12-27,132.4400,134.9900,129.6700,134.5200,31202509
2018-12-26,126.0000,134.2400,125.8900,134.1800,39723370
2018-12-24,123.1000,129.7400,123.0200,124.0600,22066002
2018-12-21,133.3900,134.9000,123.4200,124.9500,56901491
2018-12-20,130.7000,135.5700,130.0000,133.4000,40297944
2018-12-19,141.2100,144.9100,132.5000,133.2400,57404894
2018-12-18,141.0800,145.9300,139.8301,143.6600,24709084
2018-12-17,143.0800,144.9200,138.4200,140.1900,24333959
2018-12-14,143.3400,146.0100,142.5100,144.0600,21785820
2018-12-13,145.5700,145.8500,143.1900,145.0100,18148610
2018-12-12,143.0800,147.1900,142.5100,144.5000,23696936
2018-12-11,143.8800,143.8800,141.1000,142.0800,20300349
2018-12-10,139.6000,143.0500,139.0100,141.8500,26422173
2018-12-07,139.2500,140.8700,136.6566,137.4200,21195460
2018-12-06,133.8200,139.7000,133.6700,139.6300,28218145
2018-12-04,140.7300,143.3900,137.1600,137.9300,30307400
2018-12-03,143.0000,143.6799,140.7600,141.0900,24819226
2018-11-30,138.2600,140.9660,137.3600,140.6100,25732577
2018-11-29,135.9200,139.9900,135.6600,138.6800,24238713
2018-11-28,136.2800,136.7899,131.8500,136.7600,29847505
2018-11-27,135.7500,136.6126,133.7100,135.0000,20750318
2018-11-26,133.0000,137.0000,132.7800,136.3800,24263640
2018-11-23,133.6500,134.5000,131.2551,131.7300,11886128
2018-11-21,134.4000,137.1900,134.1300,134.8200,25469735
2018-11-20,127.0300,134.1592,126.8500,132.4300,41939475
2018-11-19,137.6100,137.7500,131.2100,131.5500,44362729
2018-11-16,141.0700,141.7700,137.7700,139.5300,37250560
2018-11-15,142.3300,144.8400,140.8300,143.8500,30320280
2018-11-14,143.7000,145.5800,141.5500,144.2200,22068384
2018-11-13,142.0000,144.8800,141.6200,142.1600,15141710
2018-11-12,144.4800,145.0400,140.4899,141.5500,18542123
2018-11-09,146.7500,147.7600,144.0700,144.9600,17326898
2018-11-08,150.4900,150.9400,146.7400,147.8700,24145814
2018-11-07,151.5700,153.0100,149.8300,151.5300,21877372
2018-11-06,149.3100,150.9700,148.0000,149.9400,16667124
2018-11-05,150.1000,150.1900,147.4400,148.6800,15969849
2018-11-02,151.8000,154.1300,148.9600,150.3500,24708695
2018-11-01,151.5200,152.7500,149.3500,151.7500,25640786
2018-10-31,155.0000,156.4000,148.9600,151.7900,60101251
2018-10-30,139.9350,146.6400,139.7419,146.2200,50528278
2018-10-29,148.5000,148.8300,139.0300,142.0900,31336784
2018-10-26,145.8200,149.0000,143.8000,145.3700,31303341
2018-10-25,147.7300,152.2100,147.0000,150.9500,22105696
2018-10-24,154.2800,154.6500,145.6000,146.0400,27744597
2018-10-23,151.2200,154.7700,150.8500,154.3900,19095032
2018-10-22,154.7600,157.3400,154.4600,154.7800,15424658
2018-10-19,155.8600,157.3500,153.5500,154.0500,19761347
2018-10-18,158.5100,158.6600,153.2800,154.9200,21675084
2018-10-17,159.5600,160.4900,157.9500,159.4200,17592003
2018-10-16,155.4000,159.4600,155.0100,158.7800,19180095
2018-10-15,153.3200,155.5700,152.5500,153.5200,15433521
2018-10-12,156.7300,156.8900,151.2998,153.7400,25293492
